,file,y,x,ulx,uly,lrx,lry
1529,129-76.tif,129,76,432526.8963954333,465262.7133865462,435027.1393970049,462762.4703824736
1530,129-77.tif,129,77,432526.8963954333,467762.95639061905,435027.1393970049,465262.7133865464
1531,129-78.tif,129,78,432527.16515657224,470262.2158948111,435027.4291853015,467762.9515713111
1532,129-79.tif,129,79,432527.16515657224,472677.5049370415,435027.4291853015,470262.2158948111
1533,129-9.tif,129,9,432527.60081747797,297762.19682348776,434543.14383987157,296249.5397845784
1534,130-10.tif,130,10,436518.00419172813,298329.4672229989,437526.7737023266,297762.59674462327
1535,130-12.tif,130,12,435026.7329144832,305262.5534859829,435614.58896161686,304952.6293795009
1536,130-13.tif,130,13,435026.7329144832,305584.4746546513,435614.58896161686,305262.5534859829
1537,130-23.tif,130,23,435027.6497181754,332762.10940069845,437492.9056480498,331773.40781206405
1538,130-24.tif,130,24,435027.6497181754,335262.35477296804,437492.9056480498,332762.10940069845
1539,130-25.tif,130,25,435027.6497181754,336105.10041424085,437492.9056480498,335262.35477296804
1540,130-30.tif,130,30,435027.33932566573,350262.09461306984,437527.5194158329,350218.1090376778
1541,130-31.tif,130,31,435027.23882420815,352762.2717778314,437527.4115401768,350262.09906186274
1542,130-32.tif,130,32,435027.1436617676,355262.44156968844,437527.3093839399,352762.27584801626
1543,130-33.tif,130,33,435027.1436617676,357762.60729136044,437527.3093839399,355262.44156968826
1544,130-34.tif,130,34,435026.96936253435,360262.7605615844,437527.1222395706,357762.60768379783
1545,130-35.tif,130,35,435026.8902300968,362762.9105276485,437527.0372587947,360262.76350220194
1546,130-36.tif,130,36,435026.8164452583,365262.05498728284,437526.95800401905,362762.91308553284
1547,130-37.tif,130,37,435026.8164452583,367762.19654579344,437526.95800401905,365262.0549872827
1548,130-38.tif,130,38,435027.6845801229,370262.3272175592,437526.8166946229,367762.1954512138
1549,130-39.tif,130,39,435027.62684959493,372762.4560916175,437526.7546430949,370262.32864825055
1550,130-40.tif,130,40,435027.57447561907,375262.5806491572,437527.69798066135,372762.4571476164
1551,130-41.tif,130,41,435027.57447561907,377709.7227250356,437527.69798066135,375262.5806491572
1552,130-48.tif,130,48,435027.2788082778,395262.6865930632,437527.3746507594,393703.2505606752
